Category,States/UTs/Cities,No. of Cases Reported (Incest Rape Cases),No. of Victims (Incest Rape Cases) upto 10 Years,No. of Victims (Incest Rape Cases) - 10 - 14 Years,No. of Victims (Incest Rape Cases) - 14 - 18 Years,No. of Victims (Incest Rape Cases) - 18 - 30 Years,No. of Victims (Incest Rape Cases) - 30 - 50 Years,No. of Victims (Incest Rape Cases) above 50 Years,No. of Victims (Incest Rape Cases) - Total Victims,No. of Cases Reported (Other Rape Cases),No. of Victims (Other Rape Cases) upto 10 Years,No. of Victims (Other Rape Cases) - 10 - 14 Years,No. of Victims (Other Rape Cases) - 14 - 18 Years,No. of Victims (Other Rape Cases) - 18 - 30 Years,No. of Victims (Other Rape Cases) - 30 - 50 Years,No. of Victims (Other Rape Cases) above 50 Years,No. of Victims (Other Rape Cases) - Total Victims,No. of Cases Reported (Total Rape Cases),No. of Victims (Total Rape Cases) upto 10 Years,No. of Victims (Total Rape Cases) - 10-14 Years,No. of Victims (Total Rape Cases) - 14 - 18 Years,No. of Victims (Total Rape Cases) - 18 - 30 Years,No. of Victims (Total Rape Cases) - 30 - 50 Years,No. of Victims (Total Rape Cases) above 50 Years,No. of Victims (Total Rape Cases) - Total Victims
State,Andhra Pradesh,13,2,2,1,5,1,2,13,1244,47,124,236,655,173,9,1244,1257,49,126,237,660,174,11,1257
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,42,4,7,0,31,0,0,42,42,4,7,0,31,0,0,42
State,Assam,7,0,0,0,5,2,0,7,1431,2,5,20,844,539,21,1431,1438,2,5,20,849,541,21,1438
State,Bihar,3,0,0,0,1,2,0,3,1299,0,11,80,1027,157,24,1299,1302,0,11,80,1028,159,24,1302
State,Chhattisgarh,31,0,3,15,12,1,0,31,947,24,77,292,376,175,3,947,978,24,80,307,388,176,3,978
State,Goa,0,0,0,0,0,0,0,0,30,1,6,11,7,3,2,30,30,1,6,11,7,3,2,30
State,Gujarat,4,0,1,2,1,0,0,4,370,15,26,55,216,57,1,370,374,15,27,57,217,57,1,374
State,Haryana,8,0,1,2,4,0,1,8,623,10,21,36,491,61,4,623,631,10,22,38,495,61,5,631
State,Himachal Pradesh,1,0,1,0,0,0,0,1,156,8,15,44,68,20,1,156,157,8,16,44,68,20,1,157
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,219,2,0,3,155,59,0,219,219,2,0,3,155,59,0,219
