Category,States/UTs/Cities,No. of Victims (Incest Rape Cases) - Total Victims,No. of Victims (Incest Rape Cases) < 18 Years,No. of Victims (Other Rape Cases) - Total Victims,No. of Victims (Other Rape Cases) < 18 Years,No. of Victims (Total Rape Cases) - Total Victims,No. of Victims (Total Rape Cases) < 18 Years,No. of Victims (Incest Rape Cases) > 18 Years,No. of Victims (Other Rape Cases) > 18 Years,No. of Victims (Total Rape Cases) > 18 Years
State,Andhra Pradesh,0,0,132,132,132,132,,,
State,Arunachal Pradesh,0,0,10,10,10,10,,,
State,Assam,0,0,542,542,542,542,,,
State,Bihar,0,0,42,42,42,42,,,
State,Chhattisgarh,9,9,688,688,697,697,,,
State,Goa,0,0,0,0,0,0,,,
State,Gujarat,6,6,1114,1114,1120,1120,,,
State,Haryana,5,5,219,219,224,224,,,
State,Himachal Pradesh,0,0,0,0,0,0,,,
State,Jammu & Kashmir,0,0,0,0,0,0,,,
State,Jharkhand,0,0,63,63,63,63,,,
State,Karnataka,45,45,1038,1038,1083,1083,,,
State,Kerala,12,12,90,90,102,102,,,
State,Madhya Pradesh,0,0,680,680,680,680,,,
State,Maharashtra,1,1,2,2,3,3,,,
State,Manipur,3,3,18,18,21,21,,,
State,Meghalaya,5,5,86,86,91,91,,,
State,Mizoram,8,8,48,48,56,56,,,
State,Nagaland,0,0,4,4,4,4,,,
State,Odisha,0,0,2,2,2,2,,,
State,Punjab,0,0,0,0,0,0,,,
State,Rajasthan,0,0,43,43,43,43,,,
State,Sikkim,13,13,26,26,39,39,,,
State,Tamil Nadu,10,10,1080,1080,1090,1090,,,
State,Telangana,0,0,135,135,135,135,,,
State,Tripura,0,0,0,0,0,0,,,
State,Uttar Pradesh,5,5,1435,1435,1440,1440,,,
State,Uttarakhand,1,1,51,51,52,52,,,
State,West Bengal,5,5,1101,1101,1106,1106,,,
State,TOTAL (STATES),128,128,8649,8649,8777,8777,,,
UT,A & N Islands,0,0,1,1,1,1,,,
UT,Chandigarh,0,0,0,0,0,0,,,
UT,D&N Haveli,1,1,11,11,12,12,,,
UT,Daman & Diu,1,1,3,3,4,4,,,
UT,Delhi UT,1,1,11,11,12,12,,,
UT,Lakshadweep,0,0,0,0,0,0,,,
UT,Puducherry,7,7,20,20,27,27,,,
UT,TOTAL (UTS),10,10,46,46,56,56,,,
TOTAL (ALL INDIA),TOTAL (ALL INDIA),138,138,8695,8695,8833,8833,,,
