Sl. No.,States/UTs/Cities,No. of Victims (Total Rape Cases) < 18 Years,No. of Victims (Total Rape Cases) > 18 Years,No. of Victims (Total Rape Cases) - Total Victims,2019 - CCS,2019 - CTC
1,Andhra Pradesh,544,542,1086,691,686
2,Arunachal Pradesh,24,39,63,42,4
3,Assam,88,1685,1773,1468,519
4,Bihar,1,729,730,539,206
5,Chhattisgarh,3,1033,1036,1051,1263
6,Goa,49,23,72,72,37
7,Gujarat,0,528,528,485,139
8,Haryana,8,1472,1480,843,708
9,Himachal Pradesh,197,162,359,323,144
10,Jharkhand,188,1228,1416,929,611
11,Karnataka,0,505,505,416,288
12,Kerala,1262,761,2023,1675,641
13,Madhya Pradesh,0,2485,2485,2424,3417
14,Maharashtra,0,2299,2299,1994,1056
15,Manipur,10,26,36,21,17
16,Meghalaya,20,82,102,71,148
17,Mizoram,23,19,42,40,21
18,Nagaland,2,6,8,7,4
19,Odisha,231,1151,1382,1180,753
20,Punjab,426,576,1002,809,691
21,Rajasthan,1313,4684,5997,3323,1551
22,Sikkim,0,11,11,11,6
23,Tamil Nadu,9,353,362,277,372
24,Telangana,0,873,873,692,393
25,Tripura,0,88,88,83,81
26,Uttar Pradesh,270,2795,3065,2509,1301
27,Uttarakhand,184,342,526,445,193
28,West Bengal,0,1068,1068,948,707
Total State(s),Total State(s),4852,25565,30417,23368,15957
29,Andaman and Nicobar Islands,8,5,13,12,21
30,Chandigarh,65,47,112,87,36
31,Dadra and Nagar Haveli and Daman and Diu,0,4,4,7,6
32,Delhi,0,1253,1253,1293,698
33,Jammu and Kashmir,11,212,223,164,193
34,Ladakh,,,,,
35,Lakshadweep,0,0,0,0,0
36,Puducherry,0,10,10,7,0
Total UT(s),Total UT(s),84,1531,1615,1570,954
Total (All India),Total (All India),4936,27096,32032,24938,16911
