Sl. No.,States/UTs/Cities,No. of Victims (Total Rape Cases) < 18 Years,No. of Victims (Total Rape Cases) > 18 Years,No. of Victims (Total Rape Cases) - Total Victims,2021 - CCS,2021 - CTC
1,Andhra Pradesh,614,574,1188,1320,305
2,Arunachal Pradesh,54,29,83,69,23
3,Assam,3,1730,1733,1175,348
4,Bihar,0,786,786,684,127
5,Chhattisgarh,0,1093,1093,1090,482
6,Goa,47,25,72,62,27
7,Gujarat,7,582,589,550,117
8,Haryana,0,1716,1716,909,443
9,Himachal Pradesh,215,143,358,327,114
10,Jharkhand,295,1130,1425,1036,250
11,Karnataka,0,555,555,550,367
12,Kerala,0,771,771,955,784
13,Madhya Pradesh,0,2947,2947,2903,2585
14,Maharashtra,28,2468,2496,2364,695
15,Manipur,0,26,26,18,10
16,Meghalaya,1,74,75,61,26
17,Mizoram,2,24,26,27,8
18,Nagaland,0,4,4,3,1
19,Odisha,0,1456,1456,1401,503
20,Punjab,10,454,464,427,355
21,Rajasthan,1452,4885,6337,3676,1519
22,Sikkim,0,8,8,6,5
23,Tamil Nadu,0,422,422,327,237
24,Telangana,0,823,823,885,427
25,Tripura,0,61,61,66,19
26,Uttar Pradesh,256,2589,2845,2219,1228
27,Uttarakhand,0,534,534,423,212
28,West Bengal,0,1123,1123,1108,224
Total State(s),Total State(s),2984,27032,30016,24641,11441
29,Andaman and Nicobar Islands,0,15,15,14,17
30,Chandigarh,46,28,74,78,21
31,Dadra and Nagar Haveli and Daman and Diu,0,3,3,4,3
32,Delhi,0,1250,1250,1206,189
33,Jammu and Kashmir,2,313,315,216,111
34,Ladakh,1,1,2,1,1
35,Lakshadweep,0,0,0,2,0
36,Puducherry,0,2,2,2,0
Total UT(s),Total UT(s),49,1612,1661,1523,342
Total (All India),Total (All India),3033,28644,31677,26164,11783
