state_ut,year
Andhra Pradesh,2001
Arunachal Pradesh,2001
Assam,2001
Bihar,2001
Chhattisgarh,2001
Goa,2001
Gujarat,2001
Haryana,2001
Himachal Pradesh,2001
Jammu & Kashmir,2001
Jharkhand,2001
Karnataka,2001
Kerala,2001
Madhya Pradesh,2001
Maharashtra,2001
Manipur,2001
Meghalaya,2001
Mizoram,2001
Nagaland,2001
Orissa,2001
Punjab,2001
Rajasthan,2001
Sikkim,2001
Tamil Nadu,2001
Tripura,2001
Uttar Pradesh,2001
Uttaranchal,2001
West Bengal,2001
Total (States),2001
A & N Islands,2001
Chandigarh,2001
D & N Haveli,2001
Daman & Diu,2001
Delhi,2001
Lakshadweep,2001
Pondicherry,2001
Total (UTs),2001
Total (All-India),2001
Agra,2001
Ahmedabad,2001
Allahabad,2001
Amritsar,2001
Asansol,2001
Bangalore,2001
Bhopal,2001
Chennai,2001
Coimbatore,2001
Delhi (City),2001
Dhanbad,2001
Faridabad,2001
Hyderabad,2001
Indore,2001
Jabalpur,2001
Jaipur,2001
Jamshedpur,2001
Kanpur,2001
Kochi,2001
Kolkata,2001
Lucknow,2001
Ludhiana,2001
Madurai,2001
Meerut,2001
Mumbai,2001
Nagpur,2001
Nasik,2001
Patna,2001
Pune,2001
Rajkot,2001
Surat,2001
Vadodara,2001
Varanasi,2001
Vijayawada,2001
Vishakhapatnam,2001
Total (Cities),2001
Andhra Pradesh,2002
Arunachal Pradesh,2002
Assam,2002
Bihar,2002
Chhattisgarh,2002
Goa,2002
Gujarat,2002
Haryana,2002
Himachal Pradesh,2002
Jammu & Kashmir,2002
Jharkhand,2002
Karnataka,2002
Kerala,2002
Madhya Pradesh,2002
Maharashtra,2002
Manipur,2002
Meghalaya,2002
Mizoram,2002
Nagaland,2002
Orissa,2002
Punjab,2002
Rajasthan,2002
Sikkim,2002
Tamil Nadu,2002
Tripura,2002
Uttar Pradesh,2002
Uttaranchal,2002
West Bengal,2002
Total (States),2002
A & N Islands,2002
Chandigarh,2002
D & N Haveli,2002
Daman & Diu,2002
Delhi,2002
Lakshadweep,2002
Puducherry,2002
Total (UTs),2002
Total (All-India),2002
Agra,2002
Ahmedabad,2002
Allahabad,2002
Amritsar,2002
Asansol,2002
Bangalore,2002
Bhopal,2002
Chennai,2002
Coimbatore,2002
Delhi (City),2002
Dhanbad,2002
Faridabad,2002
Hyderabad,2002
Indore,2002
Jabalpur,2002
Jaipur,2002
Jamshedpur,2002
Kanpur,2002
Kochi,2002
Kolkata,2002
Lucknow,2002
Ludhiana,2002
Madurai,2002
Meerut,2002
Mumbai,2002
Nagpur,2002
Nasik,2002
Patna,2002
Pune,2002
Rajkot,2002
Surat,2002
Vadodara,2002
Varanasi,2002
Vijayawada,2002
Vishakhapatnam,2002
Total (Cities),2002
Andhra Pradesh,2003
Arunachal Pradesh,2003
Assam,2003
Bihar,2003
Chhattisgarh,2003
Goa,2003
Gujarat,2003
Haryana,2003
Himachal Pradesh,2003
Jammu & Kashmir,2003
Jharkhand,2003
Karnataka,2003
Kerala,2003
Madhya Pradesh,2003
Maharashtra,2003
Manipur,2003
Meghalaya,2003
Mizoram,2003
Nagaland,2003
Orissa,2003
Punjab,2003
Rajasthan,2003
Sikkim,2003
Tamil Nadu,2003
Tripura,2003
Uttar Pradesh,2003
Uttaranchal,2003
West Bengal,2003
Total (States),2003
A & N Islands,2003
Chandigarh,2003
D & N Haveli,2003
Daman & Diu,2003
Delhi,2003
Lakshadweep,2003
Pondicherry,2003
Total (UTs),2003
Total (All-India),2003
Agra,2003
Ahmedabad,2003
Allahabad,2003
Amritsar,2003
Asansol,2003
Bangalore,2003
Bhopal,2003
Chennai,2003
Coimbatore,2003
Delhi (CITY),2003
Dhanbad,2003
Faridabad,2003
Hyderabad,2003
Indore,2003
Jabalpur,2003
Jaipur,2003
Jamshedpur,2003
Kanpur,2003
Kochi,2003
Kolkata,2003
Lucknow,2003
