Sl. No.,State/UT,2018 - Rape (Cases Registered) - Girls (Below 18 Years),2018 - Rape (Cases Registered) - Women (Above 18 Years),2018 - Rape (Cases Registered) - Total,2018 - CCS,2018 - CTC,2019 - Rape (Cases Registered) - Girls (Below 18 Years),2019 - Rape (Cases Registered) - Women (Above 18 Years),2019 - Rape (Cases Registered) - Total,2019 - CCS,2019 - CTC,2020 - Rape (Cases Registered) - Girls (Below 18 Years),2020 - Rape (Cases Registered) - Women (Above 18 Years),2020 - Rape (Cases Registered) - Total,2020 - CCS,2020 - CTC,2021 - Rape (Cases Registered) - Girls (Below 18 Years),2021 - Rape (Cases Registered) - Women (Above 18 Years),2021 - Rape (Cases Registered) - Total,2021 - CCS,2021 - CTC,2022 - Rape (Cases Registered) - Girls (Below 18 Years),2022 - Rape (Cases Registered) - Women (Above 18 Years),2022 - Rape (Cases Registered) - Total,2022 - CCS,2022 - CTC
1,Andhra Pradesh,503,468,971,898,589,544,542,1086,691,686,577,518,1095,1134,402,614,574,1188,1320,305,0,621,621,585,561
2,Arunachal Pradesh,29,38,67,52,7,24,39,63,42,4,29,31,60,63,1,54,29,83,69,23,30,44,74,75,26
3,Assam,89,1559,1648,1283,898,88,1685,1773,1468,519,18,1639,1657,1195,462,3,1730,1733,1175,348,4,1109,1113,1354,710
4,Bihar,4,647,651,721,159,1,729,730,539,206,1,805,806,697,67,0,786,786,684,127,0,881,881,915,251
5,Chhattisgarh,1215,876,2091,1959,1274,3,1033,1036,1051,1263,13,1197,1210,1221,313,0,1093,1093,1090,482,0,1246,1246,1291,886
6,Goa,34,27,61,73,47,49,23,72,72,37,41,19,60,58,21,47,25,72,62,27,55,18,73,72,37
7,Gujarat,7,546,553,508,134,0,528,528,485,139,0,486,486,464,62,7,582,589,550,117,0,610,610,565,256
8,Haryana,2,1294,1296,769,685,8,1472,1480,843,708,0,1373,1373,784,145,0,1716,1716,909,443,0,1787,1787,892,661
9,Himachal Pradesh,191,153,344,309,97,197,162,359,323,144,196,135,331,317,85,215,143,358,327,114,213,146,359,334,195
10,Jharkhand,69,1021,1090,823,376,188,1228,1416,929,611,116,1205,1321,966,371,295,1130,1425,1036,250,184,1114,1298,1246,751
